DATE,SALES,COST_OF_SALES,DAILY_GP_PERCENT
25/1/2014,155272.82480,152636.27660,1.69801006900
25/1/2015,78092.27692,79795.04310,-2.18045400500
25/1/2016,215171.03820,234621.59890,-9.03958119200
25/10/2014,302721.68330,294129.67110,2.83825463300
25/10/2015,118618.45370,122915.26700,-3.62238181800
25/10/2016,70402.99193,63452.76104,9.87206750700
25/11/2014,40530.64229,35674.19076,11.98217263700
25/11/2015,243161.25920,266054.36990,-9.41478538800
25/12/2014,137686.53210,140525.78670,-2.06211497700
25/12/2015,133728.98370,124363.55730,7.00328839800
25/2/2014,224994.65620,227546.44660,-1.13415600300
25/2/2015,198431.62750,209499.79410,-5.57782382800
25/2/2016,160947.53260,162597.49680,-1.02515656700
25/3/2014,130227.01470,127394.28920,2.17522109900
25/3/2015,253218.83120,276194.82950,-9.07357410600
25/3/2016,228124.39800,222208.35040,2.59334277800
25/4/2014,295741.34700,292327.02830,1.15449487700
25/4/2015,496882.31500,535306.00990,-7.73295682700
25/4/2016,251449.52960,273255.09850,-8.67194658700
25/5/2014,210764.71800,217364.46300,-3.13133292100
25/5/2015,256434.50990,276173.79250,-7.69759210900
25/5/2016,253686.30250,268974.57070,-6.02644606700
25/6/2014,56077.54269,53925.25763,3.83805166300
25/6/2015,183843.81730,195365.73070,-6.26722920000
25/6/2016,461280.78560,498910.32900,-8.15762212000
25/7/2014,515698.79580,538260.27180,-4.37493284500
25/7/2015,138624.94500,143537.39520,-3.54369857500
25/7/2016,43085.59501,36887.36617,14.38584946700
25/8/2014,316404.06230,323293.39660,-2.17738490800
25/8/2015,217683.36230,246975.73080,-13.45641127100
25/8/2016,226375.54310,240429.68550,-6.20833072700
25/9/2014,358365.68300,382967.98320,-6.86513842300
25/9/2015,368037.69190,413540.80720,-12.36371064700
25/9/2016,72457.29759,64758.50417,10.62528368600
26/1/2014,82885.21591,81583.16695,1.57090615700
26/1/2015,91830.40204,93808.08675,-2.15362741100
26/1/2016,205197.89840,221931.58010,-8.15489916300
26/10/2014,128520.72780,124739.23390,2.94232219600
26/10/2015,123320.78400,128133.77860,-3.90282517200
26/10/2016,62501.74070,56100.87429,10.24110102900
26/11/2014,30371.43134,26054.84917,14.21263990400
26/11/2015,311443.18120,355343.87180,-14.09589076000
26/12/2014,48102.96241,49028.36507,-1.92379557000
26/12/2015,82778.44405,76876.49270,7.12981672700
26/2/2014,225051.59150,228214.14210,-1.40525582600
26/2/2015,157291.73400,166305.03760,-5.73030976900
26/2/2016,188736.24740,183103.23370,2.98459558100
26/3/2014,125310.03640,122275.10260,2.42193992400
26/3/2015,229184.47190,250361.15020,-9.24001444100
26/3/2016,162929.49210,161434.81510,0.91737657900
26/4/2014,285053.97990,281159.58110,1.36619695700
26/4/2015,200369.82990,210964.76810,-5.28769136800
26/4/2016,280321.81070,302469.83200,-7.90092688300
26/5/2014,218189.34850,225607.59520,-3.39991239300
26/5/2015,199385.91240,214719.75280,-7.69053350600
26/5/2016,210305.29190,223289.08460,-6.17378316200
26/6/2014,55780.70745,53688.24120,3.75123648600
26/6/2015,319579.79410,339241.69180,-6.15242204400
26/6/2016,221578.69680,240449.62230,-8.51657933400
26/7/2014,562590.36650,586670.51410,-4.28022750400
26/7/2015,81715.04533,85089.22343,-4.12920054900
26/7/2016,43894.99343,37604.65842,14.33041565400
26/8/2014,242824.50130,259860.51250,-7.01577110600
26/8/2015,275458.80690,307092.27440,-11.48391944900
26/8/2016,337900.17820,358772.25040,-6.17699354600
26/9/2014,585463.99600,625980.93020,-6.92048263900
26/9/2015,351319.63810,397626.58510,-13.18085924600
26/9/2016,67355.06118,60179.02085,10.65404767600
27/1/2014,72353.42588,71377.15646,1.34930641900
27/1/2015,76992.93568,78614.45775,-2.10606603800
27/1/2016,214452.24840,231730.23270,-8.05679792500
27/10/2014,145185.26830,140651.93720,3.12244565400
27/10/2015,117051.27720,122175.00030,-4.37733207400
27/10/2016,53675.21828,48201.94098,10.19702849000
27/11/2014,37776.65877,32719.68964,13.38649127400
27/11/2015,375876.01340,431325.68670,-14.75211807200
27/12/2014,110162.13200,112383.55920,-2.01650708800
27/12/2015,69522.83697,64616.07665,7.05776768300
27/2/2014,344299.68240,365935.65300,-6.28405186100
27/2/2015,307540.67520,324997.33650,-5.67621219200
27/2/2016,215951.50790,210032.78810,2.74076335800
27/3/2014,119452.33960,118186.57500,1.05963985700
27/3/2015,354191.35100,386464.65130,-9.11182619500
27/3/2016,58359.83218,57681.56988,1.16220742000
27/4/2014,124964.79650,123042.15900,1.53854329700
27/4/2015,194028.06180,204053.49890,-5.16700368300
27/4/2016,313434.93330,337931.11700,-7.81539678500
27/5/2014,226132.46390,234496.51280,-3.69873867500
27/5/2015,243554.22430,262251.08010,-7.67667071000
27/5/2016,364087.42430,386499.89640,-6.15579407700
27/6/2014,131721.23830,127302.42710,3.35466873600
27/6/2015,369245.75870,392017.97350,-6.16722447400
27/6/2016,253702.22300,274426.08030,-8.16857537000
27/7/2014,266305.92590,277238.01040,-4.10508495600
27/7/2015,86842.86136,90242.79410,-3.91503997800
27/7/2016,67780.72889,58196.14599,14.14057219100
27/8/2014,274712.25330,304334.78460,-10.78311249100
27/8/2015,228731.86550,252845.44560,-10.54229153700
27/8/2016,355069.54010,376755.56450,-6.10754287600
27/9/2014,617019.09150,661010.59130,-7.12968211300
27/9/2015,163289.93670,185404.04400,-13.54284761600
27/9/2016,58941.79283,52812.78251,10.39841176500
28/1/2014,50415.90376,49769.09824,1.28293945300
28/1/2015,59897.71588,61194.18026,-2.16446380500
28/1/2016,195767.97360,210639.84820,-7.59668413900
28/10/2014,89527.55663,87067.05132,2.74832174900
28/10/2015,159299.98910,174699.07670,-9.66672231900
28/10/2016,102606.32700,92657.69953,9.69592008700
28/11/2014,46818.20532,40652.57641,13.16929785700
28/11/2015,434639.65900,498895.61860,-14.78373136700
28/12/2014,69051.33709,70482.71780,-2.07292251000
28/12/2015,133021.27280,123500.78780,7.15711464800
28/2/2014,661876.50000,686656.79100,-3.74394483000
28/2/2015,350898.76350,375030.63550,-6.87716074000
28/2/2016,134995.85450,129938.70580,3.74615110900
28/3/2014,276174.76930,271550.89560,1.67425638200
28/3/2015,459484.66660,501362.57250,-9.11410302500
28/3/2016,85605.33192,85022.38092,0.68097510600
28/4/2014,124175.80840,122516.06570,1.33660712300
