DATE,SALES,QUANTITY_SOLD,DAILY_UNIT_PRICE
12/3/2015,48008.48284,1166,41.17365595197
12/3/2016,79752.28268,1897,42.04126656827
12/4/2014,375031.10930,11250,33.33609860444
12/4/2015,79648.62939,1934,41.18336576525
12/4/2016,123179.48940,3504,35.15396386986
12/5/2014,183413.70830,5653,32.44537560587
12/5/2015,193182.15060,5118,37.74563317702
12/5/2016,27210.40663,647,42.05626990726
12/6/2014,200271.56430,6232,32.13600197368
12/6/2015,155156.87920,3690,42.04793474255
12/6/2016,138350.12180,3943,35.08752772001
12/7/2014,99277.29950,2833,35.04316960819
12/7/2015,57427.68071,1467,39.14633995228
12/7/2016,36851.76375,876,42.06822345890
12/8/2014,190325.18110,5863,32.46208103360
12/8/2015,44698.70075,1171,38.17139261315
12/8/2016,210664.86280,6082,34.63743222624
12/9/2014,148634.39140,4242,35.03875327676
12/9/2015,57381.75145,1469,39.06177770592
12/9/2016,52075.15718,1291,40.33706985283
13/1/2014,114883.17380,3369,34.10008127041
13/1/2015,64653.97214,1570,41.18087397452
13/1/2016,67587.54693,1644,41.11164655109
13/10/2014,86799.75945,2360,36.77955908898
13/10/2015,40140.82003,1018,39.43106093320
13/10/2016,22334.21253,521,42.86797030710
13/11/2014,55033.12240,1466,37.53964693042
13/11/2015,358183.77400,10204,35.10229067033
13/11/2016,97946.78305,2281,42.94028191583
13/12/2014,369350.98950,9654,38.25885534493
13/12/2015,185422.88560,5014,36.98103023534
13/2/2014,138291.63330,4259,32.47044688894
13/2/2015,358597.42850,9505,37.72724129406
13/2/2016,172541.50790,4105,42.03203602923
13/3/2014,164663.96760,5056,32.56803156646
13/3/2015,117446.83910,2853,41.16608450754
13/3/2016,37155.58848,883,42.07880915062
13/4/2014,166393.54070,4990,33.34539893788
13/4/2015,83137.43243,2019,41.17752968301
13/4/2016,124431.04640,3534,35.20969054895
13/5/2014,146166.60110,4503,32.45982702643
13/5/2015,166403.12700,4410,37.73313537415
13/5/2016,79840.08825,1898,42.06537842466
13/6/2014,468701.63020,14585,32.13586768598
13/6/2015,185109.52310,4404,42.03213512716
13/6/2016,130067.27560,3707,35.08693703804
13/7/2014,49705.23200,1419,35.02835236082
13/7/2015,63331.33100,1610,39.33623043478
13/7/2016,33225.67047,790,42.05781072152
13/8/2014,197698.11860,6092,32.45208775443
13/8/2015,39463.40906,1035,38.12889764251
13/8/2016,266271.03910,7771,34.26470712907
13/9/2014,171724.82880,4901,35.03873266680
13/9/2015,32479.79639,829,39.17948901086
13/9/2016,30424.72626,755,40.29765067550
14/1/2014,80090.80008,2348,34.11022149915
14/1/2015,59553.38603,1446,41.18491426694
14/1/2016,61685.93524,1499,41.15139108739
14/10/2014,69570.50147,1894,36.73204935058
14/10/2015,42195.81736,1070,39.43534332710
14/10/2016,69440.92880,1618,42.91775574784
14/11/2014,149808.16590,3984,37.60245128012
14/11/2015,377937.13870,10769,35.09491491318
14/11/2016,87834.25368,2046,42.92974275660
14/12/2014,177500.10770,4632,38.32040321675
14/12/2015,173833.13320,4715,36.86810884411
14/2/2014,336901.37170,10381,32.45365299104
14/2/2015,424009.88250,11237,37.73337033906
14/2/2016,87991.66300,2094,42.02085148042
14/3/2014,395941.34510,12167,32.54223268678
14/3/2015,150591.54790,3657,41.17898493301
14/3/2016,45046.51321,1071,42.06023642390
14/4/2014,193652.32780,5810,33.33086537005
14/4/2015,40776.02706,979,41.65069158325
14/4/2016,162166.83600,4601,35.24599782656
14/5/2014,201120.72760,6253,32.16387775468
14/5/2015,149178.60150,3952,37.74762183704
14/5/2016,82484.44829,1961,42.06244175931
14/6/2014,473425.75420,14745,32.10754521533
14/6/2015,83779.54401,1992,42.05800402108
14/6/2016,107168.66110,3054,35.09124462999
14/7/2014,75384.57455,2151,35.04629221292
14/7/2015,51241.02855,1307,39.20507157613
14/7/2016,30423.39146,723,42.07937961272
14/8/2014,177908.83560,5485,32.43552153145
14/8/2015,85794.09690,2247,38.18161855808
14/8/2016,123084.03910,3576,34.41947402125
14/9/2014,86435.69883,2467,35.03676482773
14/9/2015,52160.18393,1329,39.24769294959
14/9/2016,20495.11303,508,40.34471068898
15/1/2014,98945.37116,2903,34.08383436445
15/1/2015,79080.75696,1921,41.16645338886
15/1/2016,150006.92980,3648,41.12032066886
15/10/2014,130476.35530,3548,36.77462099775
15/10/2015,53490.79747,1357,39.41842112749
15/10/2016,92159.02979,2147,42.92455975314
15/11/2014,180685.51070,4802,37.62713675552
15/11/2015,168729.96240,4803,35.13011917552
15/11/2016,95509.13498,2181,43.79144198991
15/12/2014,282246.62870,7341,38.44798102438
15/12/2015,220271.72140,6212,35.45906654862
15/2/2014,367729.26820,11332,32.45051784328
15/2/2015,203861.47240,5406,37.71022426933
15/2/2016,123445.38160,2940,41.98822503401
15/3/2014,518183.21040,15971,32.44525767954
15/3/2015,67152.47495,1631,41.17257814224
15/3/2016,55489.33276,1320,42.03737330303
15/4/2014,249805.51720,7497,33.32073058557
15/4/2015,58278.45793,1398,41.68702283977
15/4/2016,354042.02320,10045,35.24559713290
15/5/2014,270123.55080,8408,32.12696845861
15/5/2015,380592.57760,10084,37.74222308608
15/5/2016,51497.23734,1224,42.07290632353
15/6/2014,224232.12140,6991,32.07439871263
15/6/2015,149501.57450,3557,42.03024304189
15/6/2016,224030.55440,6541,34.25019941905
15/7/2014,110288.23420,3148,35.03438189327
15/7/2015,80326.44081,2050,39.18362966341
15/7/2016,80345.63766,1910,42.06577887958
15/8/2014,473321.88250,14587,32.44819925276
15/8/2015,117288.01010,3068,38.22946874185
15/8/2016,162727.52480,4649,35.00269408475
15/9/2014,120236.18270,3432,35.03385276807
15/9/2015,51002.83957,1300,39.23295351538
15/9/2016,40742.17168,1010,40.33878384158
16/1/2014,84904.90171,2491,34.08466547973
16/1/2015,149444.05680,3629,41.18050614494
16/1/2016,191287.35350,4652,41.11937951419
16/10/2014,95229.77348,2591,36.75406155152
16/10/2015,110809.31580,2810,39.43392021352
16/10/2016,57296.28785,1335,42.91856767790
16/11/2014,75871.43677,2017,37.61598253347
16/11/2015,177192.56980,5042,35.14331015470
16/11/2016,77229.97189,1763,43.80599653432
16/12/2014,166037.92570,4308,38.54176548282
16/12/2015,234468.07120,6585,35.60638894457
16/2/2014,133913.84140,4127,32.44822907681
16/2/2015,220506.20930,5846,37.71915998974
16/2/2016,77344.69187,1841,42.01232583922
16/3/2014,226617.95490,6968,32.52266861366
16/3/2015,80635.28925,1959,41.16145444104
16/3/2016,41893.30316,997,42.01936124373
16/4/2014,294023.41090,8821,33.33220846843
16/4/2015,50000.10144,1198,41.73631171953
16/4/2016,327352.26140,9301,35.19538344264
16/5/2014,415315.38390,12949,32.07316270754
16/5/2015,413700.17890,10964,37.73259566764
16/5/2016,42871.83287,1019,42.07245620216
16/6/2014,185606.27500,5788,32.06742829993
16/6/2015,100477.29680,2395,41.95294229645
16/6/2016,201918.22210,5749,35.12232076883
16/7/2014,156536.68620,4825,32.44283651813
16/7/2015,71912.56573,1849,38.89268022174
16/7/2016,95297.33863,2266,42.05531272286
